Gene	Feature	Mean_FC_12_6	SD_12_6	Mean_FC_20_6	SD_20_6	anova_f_value	p_value_12_6	q_value_12_6	p_value_20_6	q_value_20_6
YOR348C	PUT4	148.62	144.92	2363.71	2136.32	0.0002	0.0058	0.0019	0.0018	0.0008
YOR352W	YOR352W	1.75	0.17	2.13	0.20	0.0001	0.0002	0.0001	0.0001	0.0001
YOR353C	SOG2	1.12	0.22	1.21	0.09	0.0064	0.3517	0.0653	0.0045	0.0016
YOR354C	MSC6	1.37	0.12	1.84	0.20	0.0003	0.0015	0.0006	0.0002	0.0002
YOR355W	GDS1	0.01	0.01	0.06	0.04	0.0001	0.0047	0.0016	0.0060	0.0020
YOR356W	CIR2	1.25	0.04	1.68	0.10	0.0000	0.0001	0.0001	0.0000	0.0000
YOR357C	SNX3	0.89	0.06	0.92	0.09	0.0193	0.0196	0.0053	0.1009	0.0217
YOR358W	HAP5	1.61	0.25	2.72	0.29	0.0000	0.0026	0.0010	0.0000	0.0000
YOR359W	VTS1	0.32	0.06	0.38	0.10	0.0002	0.0001	0.0001	0.0011	0.0005
YOR360C	PDE2	0.88	0.07	0.95	0.06	0.0273	0.0189	0.0052	0.1004	0.0217
YOR361C	PRT1	0.69	0.07	0.63	0.06	0.0006	0.0014	0.0006	0.0004	0.0002
YOR362C	PRE10	0.99	0.07	1.00	0.10	0.9278	0.7555	0.1270	0.9933	0.1600
YOR367W	SCP1	0.45	0.05	0.26	0.02	0.0000	0.0001	0.0001	0.0000	0.0000
YOR369C	RPS12	0.70	0.08	0.60	0.04	0.0001	0.0021	0.0009	0.0001	0.0001
YOR370C	MRS6	0.80	0.07	0.78	0.06	0.0036	0.0062	0.0020	0.0021	0.0009
YOR373W	NUD1	0.47	0.04	0.85	0.09	0.0001	0.0000	0.0001	0.0278	0.0072
YOR374W	ALD4	1.77	0.06	6.96	0.64	0.0000	0.0000	0.0000	0.0000	0.0000
YOR375C	GDH1	1.10	0.08	0.58	0.05	0.0001	0.0482	0.0114	0.0002	0.0001
YOR377W	ATF1	0.36	0.02	0.21	0.04	0.0000	0.0000	0.0000	0.0000	0.0001
YOR385W	YOR385W	2.85	1.05	2.08	0.54	0.0089	0.0053	0.0018	0.0052	0.0018
YPL001W	HAT1	0.90	0.10	0.95	0.14	0.0985	0.0773	0.0173	0.3963	0.0724
YPL004C	LSP1	2.14	0.19	2.80	0.25	0.0000	0.0000	0.0001	0.0000	0.0000
YPL006W	NCR1	1.71	0.23	1.83	0.24	0.0006	0.0008	0.0004	0.0005	0.0003
YPL009C	TAE2	0.95	0.02	0.93	0.06	0.0189	0.0117	0.0035	0.0502	0.0119
YPL010W	RET3	0.82	0.03	0.82	0.07	0.0002	0.0002	0.0002	0.0063	0.0021
YPL011C	TAF3	0.85	0.25	0.78	0.15	0.0175	0.1724	0.0348	0.0455	0.0109
YPL012W	RRP12	0.45	0.03	0.39	0.03	0.0000	0.0000	0.0000	0.0000	0.0000
YPL016W	SWI1	0.90	0.09	1.27	0.07	0.0003	0.0712	0.0161	0.0006	0.0003
YPL019C	VTC3	0.78	0.05	0.66	0.03	0.0000	0.0008	0.0004	0.0001	0.0001
YPL022W	RAD1	1.23	0.17	1.46	0.27	0.0221	0.0392	0.0096	0.0139	0.0040
YPL023C	MET12	1.01	0.11	1.28	0.11	0.0040	0.8659	0.1425	0.0033	0.0012
YPL028W	ERG10	0.91	0.05	0.86	0.06	0.0107	0.0219	0.0058	0.0084	0.0026
YPL029W	SUV3	0.86	0.28	1.47	0.73	0.0338	0.2798	0.0533	0.2307	0.0449
YPL030W	TRM44	0.43	0.17	0.46	0.30	0.0128	0.0107	0.0032	0.0169	0.0047
YPL031C	PHO85	1.34	0.10	1.63	0.15	0.0002	0.0009	0.0005	0.0003	0.0002
YPL032C	SVL3	0.92	0.12	0.94	0.10	0.3418	0.2088	0.0412	0.2445	0.0474
YPL036W	PMA2	1.61	1.19	2.66	0.89	0.0059	0.2784	0.0531	0.0035	0.0013
YPL037C	EGD1	0.87	0.15	0.86	0.08	0.0260	0.1302	0.0272	0.0158	0.0045
YPL038W	MET31	0.54	0.10	0.53	0.09	0.0006	0.0015	0.0007	0.0012	0.0006
YPL040C	ISM1	1.66	0.46	1.80	0.14	0.0000	0.0272	0.0070	0.0001	0.0001
YPL043W	NOP4	0.28	0.02	0.20	0.02	0.0000	0.0000	0.0000	0.0000	0.0000
YPL045W	VPS16	1.27	0.07	1.43	0.15	0.0002	0.0006	0.0003	0.0014	0.0006
YPL048W	CAM1	1.18	0.08	1.22	0.12	0.0058	0.0061	0.0020	0.0115	0.0034
YPL049C	DIG1	1.00	0.14	0.92	0.10	0.0357	0.8681	0.1429	0.1230	0.0259
YPL050C	MNN9	0.91	0.05	0.90	0.07	0.0253	0.0224	0.0060	0.0359	0.0089
YPL051W	ARL3	0.85	0.12	1.00	0.10	0.0193	0.0561	0.0131	0.9915	0.1598
YPL053C	KTR6	0.35	0.05	0.25	0.04	0.0000	0.0001	0.0001	0.0000	0.0000
YPL054W	LEE1	4.61	0.96	2.48	0.41	0.0001	0.0001	0.0001	0.0002	0.0002
YPL055C	LGE1	0.67	0.08	0.66	0.09	0.0006	0.0013	0.0006	0.0018	0.0008
YPL057C	SUR1	1.39	0.13	1.23	0.13	0.0016	0.0012	0.0006	0.0147	0.0042
YPL058C	PDR12	1.30	0.10	0.51	0.04	0.0000	0.0013	0.0006	0.0000	0.0001
YPL059W	GRX5	1.19	0.08	1.66	0.10	0.0000	0.0046	0.0016	0.0001	0.0001
YPL061W	ALD6	0.67	0.04	1.15	0.11	0.0001	0.0001	0.0001	0.0277	0.0071
YPL063W	TIM50	1.11	0.09	1.22	0.18	0.0537	0.0473	0.0113	0.0340	0.0085
YPL064C	CWC27	0.87	0.05	1.16	0.10	0.0011	0.0039	0.0014	0.0213	0.0057
YPL065W	VPS28	0.61	0.09	0.90	0.08	0.0025	0.0018	0.0008	0.0473	0.0113
YPL067C	YPL067C	1.15	0.11	1.99	0.18	0.0001	0.0283	0.0073	0.0001	0.0001
YPL069C	BTS1	0.65	0.21	0.65	0.16	0.0243	0.0346	0.0086	0.0142	0.0041
YPL074W	YTA6	0.77	0.13	1.05	0.23	0.0055	0.0288	0.0074	0.7712	0.1293
YPL075W	GCR1	1.33	0.32	1.07	0.16	0.1638	0.0981	0.0212	0.4216	0.0765
YPL078C	ATP4	1.43	0.13	4.40	0.24	0.0000	0.0009	0.0005	0.0000	0.0000
YPL079W	RPL21B	0.70	0.07	0.59	0.04	0.0001	0.0018	0.0007	0.0001	0.0001
YPL081W	RPS9A	0.85	0.16	0.80	0.08	0.0003	0.1072	0.0229	0.0080	0.0025
YPL082C	MOT1	1.39	0.14	1.43	0.35	0.0020	0.0019	0.0008	0.0268	0.0069
YPL083C	SEN54	0.60	0.07	0.80	0.14	0.0003	0.0006	0.0003	0.0392	0.0096
YPL084W	BRO1	1.11	0.08	1.19	0.12	0.0272	0.0441	0.0106	0.0174	0.0048
YPL085W	SEC16	0.88	0.04	0.85	0.05	0.0026	0.0042	0.0015	0.0035	0.0013
YPL086C	ELP3	0.57	0.03	0.60	0.04	0.0000	0.0000	0.0000	0.0001	0.0001
YPL087W	YDC1	2.57	0.29	3.74	0.23	0.0000	0.0001	0.0001	0.0000	0.0000
YPL088W	YPL088W	1.33	0.53	6.77	4.70	0.0193	0.2449	0.0474	0.0119	0.0035
YPL091W	GLR1	1.13	0.06	1.21	0.07	0.0034	0.0078	0.0025	0.0020	0.0008
YPL093W	NOG1	0.27	0.01	0.21	0.01	0.0000	0.0000	0.0000	0.0000	0.0000
YPL094C	SEC62	0.94	0.21	1.01	0.38	0.7080	0.4922	0.0876	0.8011	0.1335
YPL096W	PNG1	1.20	0.23	1.44	0.17	0.0019	0.1282	0.0268	0.0021	0.0009
YPL097W	MSY1	1.46	0.07	2.35	0.09	0.0000	0.0000	0.0001	0.0000	0.0000
YPL098C	MGR2	1.22	0.06	2.03	0.18	0.0001	0.0007	0.0004	0.0001	0.0001
YPL099C	AIM43	1.42	0.30	2.65	0.22	0.0000	0.0175	0.0048	0.0000	0.0000
YPL100W	ATG21	1.09	0.25	1.36	0.27	0.0060	0.5622	0.0983	0.0269	0.0070
YPL101W	ELP4	0.52	0.03	0.59	0.02	0.0000	0.0000	0.0000	0.0000	0.0000
YPL105C	SYH1	0.72	0.04	0.84	0.04	0.0000	0.0001	0.0001	0.0008	0.0004
YPL106C	SSE1	0.79	0.05	0.67	0.04	0.0001	0.0012	0.0006	0.0001	0.0001
YPL108W	YPL108W	0.50	0.09	0.42	0.07	0.0005	0.0010	0.0005	0.0003	0.0002
YPL110C	GDE1	1.07	0.09	1.30	0.10	0.0000	0.1335	0.0278	0.0014	0.0006
YPL111W	CAR1	0.79	0.09	1.06	0.12	0.0017	0.0105	0.0032	0.3401	0.0634
YPL112C	PEX25	0.86	0.05	1.09	0.14	0.0085	0.0057	0.0019	0.2713	0.0519
YPL113C	YPL113C	1.25	0.22	5.59	1.02	0.0000	0.0556	0.0130	0.0000	0.0000
YPL115C	BEM3	0.73	0.04	0.69	0.03	0.0001	0.0003	0.0002	0.0000	0.0000
YPL116W	HOS3	1.21	0.05	1.64	0.12	0.0001	0.0005	0.0003	0.0001	0.0001
YPL117C	IDI1	0.91	0.06	0.99	0.09	0.0553	0.0322	0.0081	0.7152	0.1212
YPL118W	MRP51	1.28	0.05	1.81	0.17	0.0003	0.0001	0.0001	0.0002	0.0001
YPL119C	DBP1	1.95	0.17	5.06	0.51	0.0000	0.0001	0.0001	0.0000	0.0000
YPL120W	VPS30	1.11	0.35	1.42	0.47	0.1690	0.5651	0.0988	0.1060	0.0227
YPL122C	TFB2	0.71	0.05	0.68	0.07	0.0003	0.0005	0.0003	0.0011	0.0005
YPL123C	RNY1	5.27	0.81	6.86	1.31	0.0000	0.0000	0.0000	0.0000	0.0000
YPL124W	SPC29	0.91	0.17	1.30	0.39	0.0223	0.2706	0.0518	0.1332	0.0278
YPL125W	KAP120	0.99	0.08	1.24	0.12	0.0093	0.8328	0.1380	0.0073	0.0023
YPL126W	NAN1	0.40	0.06	0.31	0.04	0.0000	0.0002	0.0001	0.0000	0.0000
YPL127C	HHO1	0.95	0.07	1.22	0.09	0.0048	0.1930	0.0385	0.0035	0.0013
YPL128C	TBF1	1.03	0.10	1.27	0.13	0.0098	0.6697	0.1145	0.0069	0.0022
YPL129W	TAF14	1.01	0.07	0.96	0.10	0.4409	0.8493	0.1402	0.3486	0.0647
YPL131W	RPL5	0.70	0.07	0.59	0.02	0.0000	0.0013	0.0006	0.0000	0.0000
YPL133C	RDS2	1.09	0.22	2.98	0.37	0.0000	0.4846	0.0864	0.0000	0.0001
YPL134C	ODC1	1.13	0.10	3.71	0.44	0.0000	0.0397	0.0097	0.0000	0.0000
YPL137C	GIP3	0.68	0.02	0.45	0.05	0.0000	0.0000	0.0000	0.0001	0.0001
YPL138C	SPP1	0.46	0.02	0.56	0.05	0.0000	0.0000	0.0000	0.0002	0.0001
YPL139C	UME1	1.03	0.23	1.24	0.07	0.0017	0.9222	0.1504	0.0011	0.0005
YPL140C	MKK2	1.07	0.14	1.48	0.44	0.0722	0.3411	0.0635	0.0502	0.0118
YPL141C	FRK1	0.07	0.03	0.28	0.14	0.0040	0.0024	0.0010	0.0030	0.0011
YPL143W	RPL33A	0.69	0.05	0.55	0.03	0.0000	0.0005	0.0003	0.0000	0.0000
YPL144W	POC4	0.99	0.07	0.85	0.12	0.0835	0.7056	0.1199	0.0494	0.0117
YPL145C	KES1	1.16	0.09	1.15	0.07	0.0099	0.0149	0.0043	0.0086	0.0027
YPL146C	NOP53	0.42	0.05	0.48	0.04	0.0001	0.0001	0.0001	0.0001	0.0001
YPL151C	PRP46	0.61	0.04	0.62	0.06	0.0001	0.0001	0.0001	0.0004	0.0003
YPL153C	RAD53	0.86	0.07	1.36	0.11	0.0000	0.0136	0.0039	0.0011	0.0005
YPL154C	PEP4	2.99	0.09	4.64	0.71	0.0000	0.0000	0.0000	0.0000	0.0000
YPL156C	PRM4	3.69	0.39	4.42	0.44	0.0000	0.0000	0.0000	0.0000	0.0000
YPL160W	CDC60	0.87	0.03	0.71	0.02	0.0000	0.0007	0.0004	0.0000	0.0000
YPL161C	BEM4	1.03	0.10	1.15	0.13	0.0440	0.5119	0.0906	0.0587	0.0136
YPL169C	MEX67	0.85	0.05	0.83	0.05	0.0037	0.0038	0.0014	0.0032	0.0012
YPL170W	DAP1	1.45	0.22	1.58	0.24	0.0045	0.0077	0.0024	0.0030	0.0011
YPL172C	COX10	2.22	1.36	4.38	2.89	0.0181	0.0765	0.0171	0.0181	0.0050
YPL173W	MRPL40	1.36	0.14	2.58	0.16	0.0000	0.0039	0.0014	0.0000	0.0000
YPL175W	SPT14	0.55	0.05	0.61	0.11	0.0000	0.0001	0.0001	0.0029	0.0011
YPL176C	TRE1	0.35	0.10	0.33	0.08	0.0005	0.0009	0.0005	0.0003	0.0002
YPL178W	CBC2	0.76	0.05	0.87	0.14	0.0002	0.0009	0.0004	0.0975	0.0211
YPL180W	TCO89	0.76	0.43	0.95	0.07	0.1879	0.1777	0.0358	0.2362	0.0459
YPL181W	CTI6	0.81	0.04	1.16	0.13	0.0001	0.0007	0.0004	0.0389	0.0096
YPL183C	RTT10	0.52	0.03	0.50	0.04	0.0000	0.0000	0.0000	0.0000	0.0000
YPL184C	MRN1	0.89	0.06	0.91	0.08	0.0409	0.0238	0.0063	0.0770	0.0172
YPL186C	UIP4	3.65	0.93	14.93	4.18	0.0001	0.0003	0.0002	0.0000	0.0001
YPL188W	POS5	1.00	0.08	1.35	0.11	0.0013	0.8567	0.1413	0.0011	0.0005
